Labels                        Symbols Exp    Path                           Unit  
bnmr_Read_mass_flow           mRMassF bnmr  /mass_flow/read_flow            -     
bnmr_He_level                 mHeLev  bnmr  /Cryo_level/He_level            -     
bnmr_N2_level                 mN2Lev  bnmr  /Cryo_level/N2_level            -     
bnmr_Sample_read              mSamRe  bnmr  /sample2/sample_read            R     
bnmr_Ta                       mTa     bnmr  /Sample/read_A                  K     
bnmr_Tb                       mTb     bnmr  /Sample/read_B                  K     
bnmr_Output_current           mOutCur bnmr  /Sample/current_read            A     
bnmr_Chamber_pressure         mChaPre bnmr  /Pvac/adc_read                  Torr  
bnmr_Nominal_Magnetic_Field   mMagFie bnmr  /Magnet/mag_field               T     
bnmr_Read_flow                mRFlow  bnmr  /CryoEx_MassFlow/read_flow      -     
bnmr_Driving_output           mDriOut bnmr  /flow_set/output                -     
bnmr_Platform_bias_pos        mPsBias bnmr  BNMR:HVBIAS:POS:                kV    
bnmr_Platform_Bias_neg        mNgBias bnmr  BNMR:HVBIAS:NEG:                kV    
bnqr_Helmholtz_MagCurr        qHelCur bnqr  ILE2A1:HH:RDCUR                 Amps  
bnqr_Ta                       qTa     bnqr  /Sample/read_A                  K     
bnqr_Tb                       qTb     bnqr  /Sample/read_B                  K     
bnqr_Platform_Bias            qPlBias bnqr  BNQR:HVBIAS:RDVOL               kV    
bnqr_Control_set_point        qCSetPt bnqr  /Sample/setpoint                K     
bnqr_Output_current           qOutCur bnqr  /Sample/current_read            A     
bnqr_Set_flow                 qStFlow bnqr  /He_flow/set_flow               NA    
beamline_Initial_Beam_energy  BeamEng all   ITE:BIAS:RDVOL                  kV    
beamline_Sodium_Cell          SodiumV all   ILE2:BIAS15:RDVOL               V     
